#    L    TT             EE             TE             PP             TP          
     1    0.11211E+04    0.00000E+00    0.00000E+00    0.41464E+06    0.19599E+05
     2    0.11298E+04    0.54881E-01    0.33937E+01    0.10135E+07    0.32064E+05
     3    0.10516E+04    0.88313E-01    0.42454E+01    0.15599E+07    0.38028E+05
     4    0.97912E+03    0.97755E-01    0.43547E+01    0.20437E+07    0.40766E+05
     5    0.92326E+03    0.85339E-01    0.40251E+01    0.24701E+07    0.41799E+05
     6    0.88264E+03    0.62030E-01    0.34908E+01    0.28458E+07    0.41889E+05
     7    0.85435E+03    0.38882E-01    0.29006E+01    0.31784E+07    0.41465E+05
     8    0.83517E+03    0.22214E-01    0.23449E+01    0.34739E+07    0.40711E+05
     9    0.82297E+03    0.13102E-01    0.18701E+01    0.37377E+07    0.39724E+05
    10    0.81618E+03    0.94193E-02    0.15010E+01    0.39734E+07    0.38604E+05
    11    0.81323E+03    0.82926E-02    0.12455E+01    0.41855E+07    0.37473E+05
    12    0.81424E+03    0.77399E-02    0.11011E+01    0.43757E+07    0.36393E+05
    13    0.81741E+03    0.69109E-02    0.10435E+01    0.45464E+07    0.35368E+05
    14    0.82183E+03    0.60053E-02    0.10438E+01    0.47003E+07    0.34389E+05
    15    0.82774E+03    0.53140E-02    0.10830E+01    0.48390E+07    0.33426E+05
    16    0.83551E+03    0.50432E-02    0.11454E+01    0.49639E+07    0.32455E+05
    17    0.84507E+03    0.51886E-02    0.12159E+01    0.50765E+07    0.31503E+05
    18    0.85544E+03    0.55084E-02    0.12829E+01    0.51781E+07    0.30598E+05
    19    0.86747E+03    0.58697E-02    0.13410E+01    0.52694E+07    0.29735E+05
    20    0.87947E+03    0.62505E-02    0.13852E+01    0.53511E+07    0.28898E+05
    21    0.89179E+03    0.66954E-02    0.14217E+01    0.54242E+07    0.28082E+05
    22    0.90468E+03    0.73363E-02    0.14568E+01    0.54897E+07    0.27286E+05
    23    0.91798E+03    0.82280E-02    0.14921E+01    0.55482E+07    0.26519E+05
    24    0.93172E+03    0.93665E-02    0.15281E+01    0.56000E+07    0.25786E+05
    25    0.94585E+03    0.10761E-01    0.15670E+01    0.56458E+07    0.25090E+05
    26    0.96018E+03    0.12379E-01    0.16111E+01    0.56860E+07    0.24426E+05
    27    0.97494E+03    0.14178E-01    0.16576E+01    0.57213E+07    0.23789E+05
    28    0.98999E+03    0.16144E-01    0.17036E+01    0.57519E+07    0.23174E+05
    29    0.10054E+04    0.18288E-01    0.17473E+01    0.57779E+07    0.22587E+05
    30    0.10210E+04    0.20624E-01    0.17854E+01    0.57994E+07    0.22030E+05
    31    0.10368E+04    0.23139E-01    0.18158E+01    0.58170E+07    0.21499E+05
    32    0.10529E+04    0.25807E-01    0.18359E+01    0.58313E+07    0.20985E+05
    33    0.10694E+04    0.28638E-01    0.18432E+01    0.58423E+07    0.20484E+05
    34    0.10861E+04    0.31662E-01    0.18370E+01    0.58504E+07    0.19993E+05
    35    0.11030E+04    0.34901E-01    0.18214E+01    0.58556E+07    0.19512E+05
    36    0.11199E+04    0.38375E-01    0.17994E+01    0.58582E+07    0.19046E+05
    37    0.11370E+04    0.42077E-01    0.17671E+01    0.58584E+07    0.18602E+05
    38    0.11544E+04    0.46003E-01    0.17221E+01    0.58563E+07    0.18187E+05
    39    0.11723E+04    0.50166E-01    0.16667E+01    0.58521E+07    0.17795E+05
    40    0.11903E+04    0.54586E-01    0.16037E+01    0.58459E+07    0.17418E+05
